"Pod","Timestamp","Value"
"postgres-exporter-5fb4f4dd5-r6c4n","1785394576.619","0"
"redis-796dc594bb-x8m9t","1785394576.619","3002.057347314019"
"grafana-6949b9dd8d-kt5jw","1785394576.619","0"
"worker-5dd767667f-d244v","1785394576.619","4148.169260293755"
"loki-grafana-657f4cc58f-vxfxd","1785394576.619","30408.6714000347"
"vote-5b775c567c-2rfbh","1785394576.619","0"
"vote-5c76c48ccd-tbbpk","1785394576.619","0"
"prometheus-kube-prometheus-kube-prome-prometheus-0","1785394576.619","157739.3573865358"
"redis-exporter-7b8cc5d57f-jrk8l","1785394576.619","0"
"loadtest","1785394576.619","0"
"result-d8c4c69b8-wrv76","1785394576.619","345.24885019710905"
"kube-prometheus-kube-prome-operator-7549f45d4d-hjtq6","1785394576.619","947.1264367816091"
"loki-promtail-wxxbd","1785394576.619","279.35778043973875"
"kube-prometheus-prometheus-node-exporter-49bf4","1785394576.619","287.8868479519354"
"loki-0","1785394576.619","1137.589844114627"
"worker-6687fff5cd-95m4w","1785394576.619","0"
"camunda-99f7b4dcf-xngjp","1785394576.619","194.57317210347765"
"kube-prometheus-kube-state-metrics-8448748b9d-mkzbd","1785394576.619","2318.8993240139625"
"stress-demo","1785394576.619","0"
"kube-prometheus-grafana-66985f8b88-kpsg7","1785394576.619","17992.15053763441"
"db-597b4ff8d7-mttfx","1785394576.619","3921.241050119332"
"kube-prometheus-grafana-84b466f9b8-xmpfx","1785394576.619","21251.219538004087"
"result-6898f79658-m9bhc","1785394576.619","0"
"alertmanager-kube-prometheus-kube-prome-alertmanager-0","1785394576.619","428.97777043301386"
